url,domain,status_code,x_frame_options,csp_frame_ancestors,iframe_compatible,risk_level,notes
https://shotdeck.com/,shotdeck.com,200,,'self',False,HIGH,CSP frame-ancestors 'self' bloque l'iframe externe
https://v2.gostreameast.link/,v2.gostreameast.link,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://tvpass.org/,tvpass.org,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://www.livehdtv.com/,www.livehdtv.com,403,SAMEORIGIN,,False,HIGH,X-Frame-Options: SAMEORIGIN bloque l'iframe
https://zhangboheng.github.io/Easy-Web-TV-M3u8/routes/countries.html,zhangboheng.github.io,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://v6.voiranime.com/,v6.voiranime.com,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://kaa.to/,kaa.to,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://hianime.to/,hianime.to,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://animenosub.to/,animenosub.to,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://www.downloadha.com/,www.downloadha.com,200,,,True,VERY_HIGH,Aucune restriction iframe détectée dans les en-têtes; Site de téléchargement/piratage - risque juridique et sécurité
https://diakov.net/,diakov.net,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://audioz.download/,audioz.download,403,SAMEORIGIN,,False,VERY_HIGH,X-Frame-Options: SAMEORIGIN bloque l'iframe; Site de téléchargement/piratage - risque juridique et sécurité
https://aedownload.com/,aedownload.com,200,,,True,VERY_HIGH,Aucune restriction iframe détectée dans les en-têtes; Site de téléchargement/piratage - risque juridique et sécurité
https://www.downloadpirate.com/,www.downloadpirate.com,200,,,True,VERY_HIGH,Aucune restriction iframe détectée dans les en-têtes; Site de téléchargement/piratage - risque juridique et sécurité
https://scloud.ws/,scloud.ws,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://starkmods.net/,starkmods.net,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://arcadespot.com/,arcadespot.com,403,SAMEORIGIN,,False,HIGH,X-Frame-Options: SAMEORIGIN bloque l'iframe
https://playclassic.games/,playclassic.games,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://www.retrogames.onl/,www.retrogames.onl,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
https://dodi-repacks.download/,dodi-repacks.download,403,SAMEORIGIN,,False,VERY_HIGH,X-Frame-Options: SAMEORIGIN bloque l'iframe; Site de téléchargement/piratage - risque juridique et sécurité
https://gog-games.to/game/parkitect,gog-games.to,403,SAMEORIGIN,,False,HIGH,X-Frame-Options: SAMEORIGIN bloque l'iframe
https://fitgirl-repacks.site/,fitgirl-repacks.site,403,,,True,VERY_HIGH,Aucune restriction iframe détectée dans les en-têtes; Site de téléchargement/piratage - risque juridique et sécurité
https://online-fix.me/,online-fix.me,200,,,True,LOW,Aucune restriction iframe détectée dans les en-têtes
